WKT,name,description
"POINT (-71.0918238 42.3579921)",1.1,
"POINT (-71.0923785 42.3578077)",1.2,
"POINT (-71.0926843 42.3583112)",1.3,
"POINT (-71.0920996 42.3584737)",1.4,
"POINT (-71.0926801 42.3593229)",3.3,
"POINT (-71.0931682 42.3591961)",7.1,
"POINT (-71.0928035 42.359537)",11.1,
"POINT (-71.0912424 42.3598105)",4.3,
"POINT (-71.0902071 42.3591128)",2.3,
"POINT (-71.0898959 42.3586213)",2.2,
"POINT (-71.0904377 42.3584429)",2.1,
"POINT (-71.0907167 42.3600166)",8.2,
"POINT (-71.0909877 42.3593868)",4.2,
"POINT (-71.0916422 42.3596841)",4.4,
"POINT (-71.0920794 42.3597931)",10.2,
"POINT (-71.0923342 42.3594621)",3.4,
"POINT (-71.092471 42.3590102)",3.2,
"POINT (-71.0922805 42.3586971)",3.1,
"POINT (-71.0928044 42.358512)",5.1,
"POINT (-71.0930512 42.3589183)",5.2,
"POINT (-71.0909537 42.359935)",8.1,
"POINT (-71.0933295 42.3594748)",7.2,
"POINT (-71.0904903 42.3590328)",2.4,
"POINT (-71.0907545 42.3589555)",4.1,
"POINT (-71.0919451 42.3595488)",10.1,Lobby 10
